id,Start Time,End Time,Feeding History ID
778,1491635834555,1491635877572,339
779,1491648317334,1491648327048,341
780,1491648398808,1491648416189,341
781,1491655663242,1491655788243,342
782,1491655870562,1491655877451,342
783,1491655909108,1491655961027,342
784,1491655993126,1491656003000,342
785,1491656232794,1491656241316,342
786,1491657506736,1491657639108,343
787,1491668072327,1491668253462,345
788,1491668330337,1491668529535,345
789,1491670749408,1491670808122,346
790,1491671135848,1491671218241,346
791,1491671295933,1491671325268,346
792,1491671445214,1491671453139,346
793,1491671497629,1491671502877,346
794,1491675185392,1491675355638,347
795,1491675406239,1491675484367,347
796,1491677465273,1491677549095,348
797,1491677684327,1491677706276,348
798,1491687212568,1491687224364,350
799,1491688499333,1491688528502,351
800,1491696439705,1491696612829,352
801,1491698386428,1491698621089,353
802,1491705503033,1491705550443,354
803,1491709952272,1491709992606,356
804,1491710156590,1491710166238,356
805,1491714226543,1491714462958,357
806,1491714569087,1491714586105,357
807,1491714671595,1491714716882,357
808,1491714782532,1491714792048,357
809,1491714806719,1491714814782,357
810,1491714842222,1491715060270,357
811,1491715185384,1491715196549,357
812,1491715219472,1491715220200,357
813,1491715250140,1491715260370,357
814,1491715312579,1491715326609,357
815,1491715367064,1491715394899,357
816,1491715410604,1491715424750,357
817,1491716827713,1491716838241,358
818,1491716948892,1491717022996,358
819,1491717160075,1491717167375,358
820,1491717204081,1491717238446,358
821,1491717319675,1491717329138,358
822,1491717361694,1491717373208,358
823,1491717394030,1491717413329,358
824,1491717423566,1491717432130,358
825,1491717445418,1491717482200,358
826,1491731577364,1491731591586,360
827,1491743776548,1491743802797,361
828,1491744073990,1491744186464,361
829,1491744324712,1491744354849,361
830,1491746069927,1491746093646,362
831,1491746300652,1491746476980,362
832,1491746512186,1491746570438,362
833,1491755964589,1491756003112,363
834,1491756061936,1491756130926,363
835,1491756183248,1491756213948,363
836,1491772064383,1491772352420,366
837,1491776640570,1491776647414,369
838,1491779096417,1491779103215,370
839,1491780515630,1491780618536,371
840,1491780739774,1491780741414,371
841,1491780763521,1491780953430,371
842,1491781031927,1491781040122,371
843,1491787313954,1491787319858,372
844,1491788939402,1491788983451,373
845,1491789001084,1491789090123,373
846,1491789135594,1491789319125,373
847,1491789461205,1491789597480,373
848,1491789688574,1491789847103,373
849,1491796402545,1491796455299,374
850,1491796746926,1491796787262,374
851,1491796868470,1491796904780,374
852,1491796986565,1491796994678,374
853,1491797186065,1491797206463,374
854,1491797228984,1491797267986,374
855,1491797288991,1491797318238,374
856,1491797347112,1491797391229,374
857,1491798290084,1491798309201,375
858,1491798347524,1491798483400,375
859,1491798922391,1491799318852,375
860,1491799462317,1491799553585,375
861,1491799765976,1491799894048,375
862,1491812155252,1491812162282,376
863,1491823331395,1491823337189,379
864,1491823362738,1491823382285,379
865,1491830616200,1491830709048,381
866,1491838169530,1491838336242,384
867,1491838362274,1491838414377,384
